url,label
https://www.google.com,0
https://www.wikipedia.org,0
https://www.github.com,0
https://www.amazon.in,0
https://www.microsoft.com,0
https://www.apple.com,0
https://www.stackoverflow.com,0
https://www.linkedin.com,0
https://www.netflix.com,0
https://www.paypal.com,0
http://secure-login-paypal.com@evil.com,1
http://update-account-verification.com/login,1
http://banking-alert-secure-login.net,1
http://verify-paytm-account.in,1
http://free-gift-cards-now.com,1
http://amazon-security-check.net,1
http://login-facebook-security.com,1
http://secure@instagram-login.net,1
http://192.168.1.10/login,1
http://confirm-account-update-now.com,1
https://secure-google-login.com,1
https://paypal-verification-alert.com,1
https://bankofindia-secure-login.net,1
https://flipkart-account-update.in,1
https://icici-bank-alert-login.com,1
http://earn-money-fast-now.com,1
http://win-free-iphone-now.net,1
http://claim-your-reward-fast.com,1
http://login-update-required.com,1
http://verify-now-or-lose-access.com,1
